City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nagqu,-1.7218,-68.3146,299.46,85,89,1.42,BR,1699916242
84,riyadh,68.4266,133.4954,253.54,93,100,5.13,RU,1699916254
85,fortaleza,26.7832,86.6525,292.39,63,72,1.86,NP,1699916256
86,hilo,62.7824,3.868,279.61,74,73,9.48,NO,1699916260
87,sungailiat,-4.4803,104.7199,297.77,86,55,1.66,ID,1699916264
88,sotik post,77.6908,-73.9566,258.72,93,100,10.98,GL,1699916266
89,sierra grande,29.9297,-6.4529,295.55,28,74,0.9,MA,1699916277
90,kumertau,48.1976,38.1364,280.5,69,100,0.9,UA,1699916278
91,san antonio de pale,-24.8806,138.6403,308.02,26,55,7.26,AU,1699916287
92,kruisfontein,59.4351,160.5113,262.76,92,89,3.0,RU,1699916295
93,ahau,65.0764,-143.3307,266.47,96,100,1.4,US,1699916303
94,tha mai,28.356,107.8714,280.6,81,81,0.54,CN,1699916307
95,mgandu,-28.4829,21.8285,295.93,13,0,7.56,ZA,1699916317
96,fada n'gourma,67.1098,-19.1375,277.28,87,88,13.7,IS,1699916318
97,bathurst,-15.6811,-42.6074,299.54,23,3,1.1,BR,1699916324
98,barcelos,10.6945,-78.2745,302.16,79,100,2.88,PA,1699916328
99,lethem,48.7489,0.8319,283.73,88,72,7.5,FR,1699916329
100,saharsa,14.8923,-85.7587,300.67,94,100,0.0,HN,1699916333
101,ulsteinvik,28.3915,76.2886,292.64,39,98,0.94,IN,1699916334
102,alice springs,24.0924,15.4632,293.04,26,0,4.63,LY,1699916338
103,portland,55.8468,53.6234,276.29,89,100,7.56,RU,1699916341
104,malax,42.2687,-77.1723,281.59,73,38,5.05,US,1699916348
105,shihezi,27.7511,129.9805,292.43,57,100,4.56,JP,1699916356
106,pontevedra,-2.5984,35.7183,295.25,73,32,3.55,TZ,1699916366
107,haiku-pauwela,48.4175,71.939,274.18,85,18,2.67,KZ,1699916367
108,xinshi,-13.0176,31.5571,298.11,60,57,0.75,ZM,1699916382
109,happy valley-goose bay,28.8825,-85.6684,295.08,79,95,9.79,US,1699916384
110,ciudad de armeria,12.7645,22.9049,301.86,44,99,1.46,SD,1699916394
